"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 13 20:14:31 GMT 2023","Sat May 13 20:14:31 GMT 2023","536","","tests.BaseTest","","tests.BaseTest","testSumOfValidNumbers","testSumOfValidNumbers()",""
"passed","Sat May 13 20:14:28 GMT 2023","Sat May 13 20:14:29 GMT 2023","338","","tests.AlertTest","","tests.AlertTest","testSingleAlert","testSingleAlert()",""
"passed","Sat May 13 20:14:23 GMT 2023","Sat May 13 20:14:28 GMT 2023","5482","","tests.AlertTest","","tests.AlertTest","testMultipleAlert","testMultipleAlert()",""
"passed","Sat May 13 20:14:55 GMT 2023","Sat May 13 20:14:56 GMT 2023","386","","tests.DualListTest","","tests.DualListTest","testAddAllToList","testAddAllToList()",""
"passed","Sat May 13 20:14:29 GMT 2023","Sat May 13 20:14:31 GMT 2023","1895","","tests.BaseTest","","tests.BaseTest","testSumOfInvalidNumbers","testSumOfInvalidNumbers()",""
"passed","Sat May 13 20:14:56 GMT 2023","Sat May 13 20:14:57 GMT 2023","1680","","tests.RadioTest","","tests.RadioTest","testMultipleRadio","testMultipleRadio()",""
"passed","Sat May 13 20:14:54 GMT 2023","Sat May 13 20:14:55 GMT 2023","1804","","tests.DualListTest","","tests.DualListTest","testIsRightItemAdded","testIsRightItemAdded()",""
"passed","Sat May 13 20:14:57 GMT 2023","Sat May 13 20:14:59 GMT 2023","1216","","tests.RadioTest","","tests.RadioTest","testSingleRadio","testSingleRadio()",""
"passed","Sat May 13 20:14:31 GMT 2023","Sat May 13 20:14:53 GMT 2023","22050","","tests.ProgressBarPageTest","","tests.ProgressBarPageTest","testIsBarLoaded","testIsBarLoaded()",""
